Date,Close/Last,Volume,Open,High,Low
11/25/2022,93.41,35088610,93.79,94.43,93.07
11/23/2022,94.13,59414680,93.24,94.58,92.83
11/22/2022,93.20,62191960,92.62,93.35,90.87
11/21/2022,92.46,84330270,93.97,95.02,90.59
11/18/2022,94.14,72428190,95.95,95.99,92.48
11/17/2022,94.85,82617870,95.37,96.97,94.03
11/16/2022,97.12,87958830,96.85,98.49,95.54
11/15/2022,98.94,111336300,103.21,103.79,97.34
11/14/2022,98.49,99533070,98.77,100.12,97.29
11/11/2022,100.79,111590500,97.88,101.19,96.66
11/10/2022,96.63,173414900,92.94,98.69,91.65
11/09/2022,86.14,90796250,89.47,89.48,85.87
11/08/2022,89.98,88703370,90.79,91.72,88.23
11/07/2022,90.53,77495730,91.95,92.10,89.04
11/04/2022,90.98,129101300,91.49,92.44,88.04
11/03/2022,89.30,136683300,92.47,93.50,89.02
11/02/2022,92.12,135761800,97.32,97.74,92.01
11/01/2022,96.79,153370000,103.99,104.58,96.06
10/31/2022,102.44,99251400,103.56,104.87,100.74
10/28/2022,103.41,223133400,97.91,103.96,97.66
10/27/2022,110.96,129605400,113.92,114.12,109.77
10/26/2022,115.66,69002460,116.00,119.35,114.76
10/25/2022,120.60,50934610,119.65,121.32,118.95
10/24/2022,119.82,49531520,119.98,120.39,116.57
10/21/2022,119.32,55660490,114.79,119.59,114.50
10/20/2022,115.25,48795100,113.83,118.24,113.51
10/19/2022,115.07,47198120,114.71,116.59,113.22
10/18/2022,116.36,65607450,119.06,119.52,114.79
10/17/2022,113.79,62781990,110.11,114.19,110.09
10/14/2022,106.90,67737340,114.10,114.96,106.60
10/13/2022,112.53,86868100,107.88,113.44,105.35
10/12/2022,112.90,45728660,112.49,113.83,111.40
10/11/2022,112.21,56432230,112.71,115.48,110.39
10/10/2022,113.67,42339680,115.10,116.25,112.43
10/07/2022,114.56,54677980,118.00,118.17,113.88
10/06/2022,120.30,42253760,120.77,121.53,119.50
10/05/2022,120.95,48217540,118.58,121.75,117.69
10/04/2022,121.09,62812560,119.89,123.00,119.79
10/03/2022,115.88,50941850,113.58,116.91,112.45
09/30/2022,113.00,59479590,114.08,116.92,112.84
09/29/2022,114.80,58969710,115.60,116.07,113.06
09/28/2022,118.01,55763750,114.38,118.70,113.80
09/27/2022,114.41,60094690,117.20,118.32,113.05
09/26/2022,115.15,62723270,113.30,117.34,113.13
09/23/2022,113.78,65126670,116.00,116.05,112.06
09/22/2022,117.31,55229190,117.08,118.79,116.26
09/21/2022,118.54,58498890,122.49,123.76,118.45
09/20/2022,122.19,47698430,123.35,124.40,121.14
09/19/2022,124.66,47279730,122.16,124.71,121.80
09/16/2022,123.53,115667800,122.78,123.87,120.70
09/15/2022,126.28,52887200,127.38,130.37,125.50
09/14/2022,128.55,45316770,127.36,128.84,126.33
09/13/2022,126.82,72694010,131.01,131.40,126.27
09/12/2022,136.45,53826860,134.10,136.49,134.00
09/09/2022,133.27,49422260,130.91,133.69,130.76
09/08/2022,129.82,43988510,127.72,130.28,127.10
09/07/2022,129.48,47834490,126.12,129.82,125.40
09/06/2022,126.11,43888590,127.92,128.62,124.74
09/02/2022,127.51,57429830,129.50,131.38,126.39
09/01/2022,127.82,56636150,126.00,128.02,123.66
08/31/2022,126.77,53648700,129.45,130.59,126.74
08/30/2022,128.73,49202990,131.25,132.07,126.85
08/29/2022,129.79,48101640,129.90,131.95,128.77
08/26/2022,130.75,53322660,136.55,137.83,130.50
08/25/2022,137.28,37496280,135.26,137.42,134.28
08/24/2022,133.80,38626980,132.75,135.47,132.10
08/23/2022,133.62,36252100,133.41,134.99,132.95
08/22/2022,133.22,50461500,135.72,136.32,132.85
08/19/2022,138.23,47792840,140.47,141.11,137.91
08/18/2022,142.30,37458740,141.32,142.77,140.38
08/17/2022,142.10,48149780,142.69,143.38,140.78
08/16/2022,144.78,59102860,143.91,146.57,142.00
08/15/2022,143.18,39014580,142.80,143.76,141.49
08/12/2022,143.55,47643480,142.05,143.57,140.12
08/11/2022,140.64,44867340,143.86,144.49,139.76
08/10/2022,142.69,54773820,142.90,144.60,141.01
08/09/2022,137.83,40434720,138.05,138.95,136.21
08/08/2022,139.41,52303480,142.05,144.23,138.29
08/05/2022,140.80,50686870,140.10,142.86,139.60
08/04/2022,142.57,70585020,140.58,143.56,139.55
08/03/2022,139.52,71827780,136.21,140.49,136.05
08/02/2022,134.16,61922430,134.72,137.44,134.09
08/01/2022,135.39,76846910,134.96,138.83,133.51
07/29/2022,134.95,148892900,134.90,137.65,132.41
07/28/2022,122.28,82245540,121.57,122.84,118.08
